dias_reais,dias_estimados_antigo,dias_previstos_ia
11,29,13.950837368896543
8,35,10.513188789713622
17,18,11.759801119899226
2,13,4.631455525745065
4,11,6.030993697883873
3,22,9.799590178478338
9,21,14.660275249863425
12,31,16.447560692435026
14,31,12.201519258076262
8,17,13.70837951699854
22,23,13.931563914982046
4,28,4.249792893102113
10,25,15.518485376952892
17,28,14.162209222350354
8,28,11.389375961434546
12,23,11.886949810419516
23,35,17.049371558946884
12,29,12.038247769218769
2,8,2.5564150684788784
6,23,12.003768165254028
1,17,2.04761378189717
18,14,7.7236892141467015
7,18,9.857971875769621
2,20,10.06609810917196
21,26,16.252606342896158
5,18,6.187654828485305
9,18,9.932436781693681
12,33,16.09114052674815
1,10,3.17663097556541
5,26,6.5059641442549285
13,19,10.7937116776169
1,16,5.8635669224623905
12,29,12.649184487946865
6,16,4.215241865816623
10,35,11.428486094314765
5,22,9.925162274173493
15,28,13.931832150820469
4,22,8.260413751554736
11,35,17.583804194464417
12,24,11.528619485140137
14,35,9.900074103884746
23,15,14.332899965412173
15,37,25.445192246060788
19,25,18.480540051825
8,7,7.953759025318939
8,9,6.5677444750525185
16,19,9.341170166133674
4,10,6.0397667477273265
6,20,7.155402715674777
13,20,12.33188732360633
28,24,20.57532963458365
7,17,10.833352728864297
13,13,9.36025753512473
16,37,17.886644428568108
8,17,4.950625449230822
3,15,9.630327295600058
21,22,22.543122330403616
16,24,11.701736307966287
13,39,16.552198815475926
6,25,7.475262004833001
4,17,7.651622405269019
5,18,9.5032973873464
9,31,12.94583731927481
10,33,13.912771054589102
8,21,9.769303535359075
9,18,10.867747235205963
13,30,17.9890110946294
7,24,12.719655590135888
10,32,12.289661811804082
18,18,12.305579840752127
14,38,9.026202625597131
18,21,15.971245702896812
10,27,12.715248374094713
24,19,16.861604124674688
7,19,12.101582659961649
9,23,11.993957501794279
6,22,5.538111575880325
10,26,10.371449641098371
6,24,6.677936160696483
2,15,3.73783183526656
10,25,12.27300720079846
13,42,16.15106139728982
11,26,16.02453353251467
40,33,27.651698032660473
6,13,7.128229062306165
10,51,11.215662223103747
4,12,5.226251049798521
8,16,9.276912817664195
14,22,16.20634597686303
3,18,4.018968793215503
9,22,11.855521873479525
7,26,9.159262988435966
22,24,18.0204866296507
12,39,13.708141486114007
4,22,8.280634134918511
16,25,14.87698025563365
34,32,16.0880976634527
16,21,13.751406977967639
14,50,17.558765363411638
14,21,12.939644741827827
5,12,5.269036929909219
7,21,13.829817549252791
13,30,13.896881782812711
5,4,4.458644565805006
26,24,17.715255273239453
35,26,19.266156084656085
7,19,11.885211723974903
12,25,11.472536832771683
9,15,10.924805659912744
11,26,9.225195733957193
11,24,12.078646213611478
7,27,10.819285015441446
9,19,13.827744606971342
3,10,5.502103989895842
16,31,13.628153846153845
7,26,14.398695478776778
30,31,20.94167724917812
32,26,23.68808621430189
16,38,18.613897571505706
15,31,17.341008193388134
7,28,13.892595452971348
2,20,6.760335399399978
11,31,10.573685387125773
19,39,16.25885300942484
8,19,9.855167582323736
17,34,21.767595593669576
6,18,9.51642714491368
6,17,4.923807958549299
18,20,12.954496260211776
23,19,15.461736288228392
10,23,11.173709905943449
9,34,16.096179659027612
9,30,10.67479199248521
6,19,6.081142545286602
7,19,6.620495029300718
2,17,4.50250261452301
11,39,13.687518092529274
15,25,15.084242439395258
10,26,11.504723935984163
14,25,11.410883050425937
10,17,13.432039124775857
11,31,11.6137363116228
2,22,6.811057956044932
6,19,8.220719007370501
